District,State,State_Abbreviation,CD#,CD,2018_Cook_PVI_Score,2018_Winner,Party,flipped_seat,Dem_Votes_2018,GOP_Votes_2018,Other_Votes_2018,Dem_2018_Vote_Share,GOP_2018_Vote_Share,Clinton_Vote_Share,Trump_Vote_Share,City_Lab_Congressional_Index,2018_Cook_PVI_Score_intg,2018_Cook_PVI_Index,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white
GA1,Georgia,GA,1,GA-1,-9,Buddy Carter,R,No,"105,942","144,741",0,42.30,57.70,40.9,56.4,Rural-suburban mix,-9,R+9,64,29.1,3.8,1.4,0.3,1.3,25,28.2,50931,45.9
GA2,Georgia,GA,2,GA-2,6,Sanford Bishop,D,No,"136,699","92,472",0,59.60,40.40,55,43.3,Rural-suburban mix,6,D+6,44.6,50.7,2.6,0.9,0.2,1.1,17.6,22.1,35617,34.7
GA3,Georgia,GA,3,GA-3,-18,Drew Ferguson,R,No,"101,010","191,996",0,34.50,65.50,32.8,64.3,Rural-suburban mix,-18,R+18,70.8,23.3,3.3,1.2,0.2,1.2,26.5,28.3,56240,50.7
GA4,Georgia,GA,4,GA-4,24,Hank Johnson,D,No,"227,717","61,092",0,78.80,21.20,75.3,22.2,Sparse suburban,24,D+24,30.9,60.7,3.8,3.2,0.1,1.3,29.8,38.1,51686,19
GA5,Georgia,GA,5,GA-5,34,John Lewis,D,No,"275,406",0,0,100.00,0.00,85,11.9,Dense suburban,34,D+34,32.8,59.2,3.3,2.9,0.3,1.5,42,70.5,48269,9.7
GA6,Georgia,GA,6,GA-6,-8,Lucy McBath,D,Yes (to Democrats),"160,139","156,875",18,50.50,49.50,46.8,48.3,Dense suburban,-8,R+8,72.4,14.3,4.9,6.8,0.3,1.4,60.6,66.7,87139,24
GA7,Georgia,GA,7,GA-7,-9,Rob Woodall,R,No,"140,010","140,443",0,49.90,50.10,44.8,51.1,Sparse suburban,-9,R+9,58.5,20.4,9.1,10.4,0.2,1.4,39.6,44.9,72481,32.1
GA8,Georgia,GA,8,GA-8,-15,Austin Scott,R,No,0,"198,152",564,0.00,99.70,34.4,63.3,Pure rural,-15,R+15,65,30,2.9,0.9,0.2,1,21.8,24.8,44360,48.7
GA9,Georgia,GA,9,GA-9,-31,Doug Collins,R,No,"57,912","224,661",5,20.50,79.50,19.3,77.8,Pure rural,-31,R+31,86.8,7,4.2,1,0.2,0.8,21.6,24,50154,65.9
GA10,Georgia,GA,10,GA-10,-15,Jody Hice,R,No,"112,339","190,396",0,37.10,62.90,35.8,61.3,Pure rural,-15,R+15,69.8,24.7,2.9,1.5,0.1,1,26.7,30.4,51532,48.5
GA11,Georgia,GA,11,GA-11,-17,Barry Loudermilk,R,No,"118,653","191,887",0,38.20,61.80,35.3,60.3,Sparse suburban,-17,R+17,75.3,16,5,2.3,0.2,1.2,41,44.1,69610,42
GA12,Georgia,GA,12,GA-12,-9,Rick Allen,R,No,"101,503","148,986",3,40.50,59.50,40.7,56.9,Pure rural,-9,R+9,59.8,34.3,3.3,1.2,0.2,1,20.9,23.6,43933,45.7
GA13,Georgia,GA,13,GA-13,20,David Scott,D,No,"223,157","69,760",93,76.20,23.80,71,26.6,Sparse suburban,20,D+20,33.4,58.1,4.8,2.2,0.1,1.4,29.6,26,57342,24.7
GA14,Georgia,GA,14,GA-14,-27,Tom Graves,R,No,"53,981","175,743",0,23.50,76.50,22.1,75,Rural-suburban mix,-27,R+27,85.1,8.7,4.4,0.7,0.2,0.9,18.1,18.5,48691,69.3
HI1,Hawaii,HI,1,HI-1,17,Ed Case,D,No,"134,650","42,498","7,063",73.10,23.10,63.1,30.5,Urban-suburban mix,17,D+17,19.1,2.2,7.2,56.2,0.1,15.1,36,48.9,78180,9.8
HI2,Hawaii,HI,2,HI-2,19,Tulsi Gabbard,D,No,"153,271","44,850",0,77.40,22.60,61.4,29.6,Rural-suburban mix,19,D+19,33.7,1.6,9.2,35.9,0.2,19.5,27.8,42.6,70867,19.3
IA1,Iowa,IA,1,IA-1,1,Abby Finkenauer,D,Yes (to Democrats),"170,342","153,442","10,459",51.00,45.90,45.2,48.7,Rural-suburban mix,1,D+1,93.3,2.8,1.9,0.9,0.3,0.9,27.1,27.1,57402,68
IA2,Iowa,IA,2,IA-2,1,Dave Loebsack,D,No,"171,446","133,287","8,180",54.80,42.60,45,49.1,Rural-suburban mix,1,D+1,91.2,3.1,3.3,1.1,0.2,1.1,28.5,28.7,52150,65
IA3,Iowa,IA,3,IA-3,-1,Cindy Axne,D,Yes (to Democrats),"175,642","167,933","12,666",49.30,47.10,45,48.5,Sparse suburban,-1,R+1,90.5,3.3,3.3,1.7,0.2,1,33.1,34.5,62323,59.3
IA4,Iowa,IA,4,IA-4,-11,Steve King,R,No,"147,246","157,676","8,329",47.00,50.30,33.5,60.9,Pure rural,-11,R+11,93.7,1.2,3,0.9,0.4,0.8,24.7,24.8,53335,70.5
ID1,Idaho,ID,1,ID-1,-21,Russ Fulcher,R,No,"96,922","197,719","20,428",30.80,62.80,25.4,63.7,Rural-suburban mix,-21,R+21,89.6,0.3,6.5,0.9,1.2,1.5,25.4,26.8,52199,65.5
ID2,Idaho,ID,2,ID-2,-17,Mike Simpson,R,No,"110,381","170,274",0,39.30,60.70,29.8,54.5,Rural-suburban mix,-17,R+17,88.1,0.6,7.6,1.1,1.1,1.4,30.1,32.5,51294,59.4
IL1,Illinois,IL,1,IL-1,27,Bobby Rush,D,No,"189,560","50,960","17,365",73.50,19.80,75.4,21.4,Urban-suburban mix,27,D+27,38,53,6.4,1.3,0.2,1.1,28.9,35.9,50523,24.3
IL2,Illinois,IL,2,IL-2,29,Robin Kelly,D,No,"190,684","44,567",0,81.10,18.90,78,19.1,Dense suburban,29,D+29,33,56.6,8.8,0.6,0.1,1,23.3,25,48417,24.7
IL3,Illinois,IL,3,IL-3,6,Dan Lipinski,D,No,"163,053","57,885","2,396",73.00,25.90,55.2,39.9,Urban-suburban mix,6,D+6,68.2,5.4,22.3,3.3,0,0.7,26.9,32.1,66270,46.3
IL4,Illinois,IL,4,IL-4,33,Chuy Garcia,D,No,"143,895","22,294",0,86.60,13.40,82.1,13.2,Pure urban,33,D+33,33.2,5.4,56.2,3.9,0.2,1.1,24.5,52.8,51383,15.6
IL5,Illinois,IL,5,IL-5,20,Mike Quigley,D,No,"213,992","65,134",5,76.70,23.30,70.5,23.9,Pure urban,20,D+20,74.5,2.9,15,6,0.1,1.5,54.7,60.2,80269,29.6
IL6,Illinois,IL,6,IL-6,-2,Sean Casten,D,Yes (to Democrats),"169,001","146,445",0,53.60,46.40,50.2,43.2,Sparse suburban,-2,R+2,84.1,2.4,6,6.7,0,0.8,52.2,53.4,97387,39.2
IL7,Illinois,IL,7,IL-7,38,Danny Davis,D,No,"215,746","30,497",0,87.60,12.40,87.4,9.2,Pure urban,38,D+38,32.5,51.5,9.5,5.2,0.1,1.2,40.7,73.7,54147,8.5
IL8,Illinois,IL,8,IL-8,8,Raja Krishnamoorthi,D,No,"130,054","67,073",0,66.00,34.00,58.1,36.4,Dense suburban,8,D+8,67.6,4.9,15.6,10.9,0.1,1,32.6,34.8,67745,43.9
IL9,Illinois,IL,9,IL-9,18,Jan Schakowsky,D,No,"213,368","76,983",0,73.50,26.50,70.1,24.9,Urban-suburban mix,18,D+18,72.1,8.6,7.4,10.3,0.1,1.5,53.2,58.2,67084,30.1
IL10,Illinois,IL,10,IL-10,10,Brad Schneider,D,No,"156,540","82,124",0,65.60,34.40,62,32.6,Sparse suburban,10,D+10,71.2,7.2,12.2,7.8,0.2,1.4,44.1,51.2,74971,34.7
IL11,Illinois,IL,11,IL-11,9,Bill Foster,D,No,"145,407","82,358",0,63.80,36.20,58.9,35.4,Dense suburban,9,D+9,64.4,11.9,16.1,6,0.1,1.5,36,42.5,72198,37
IL12,Illinois,IL,12,IL-12,-5,Mike Bost,R,No,"118,724","134,884","7,935",45.40,51.60,40.2,55,Rural-suburban mix,-5,R+5,79.8,15.8,2.2,0.8,0.2,1.1,24,25,47430,59.8
IL13,Illinois,IL,13,IL-13,-3,Rodney Davis,R,No,"134,458","136,516",7,49.60,50.40,44.2,49.7,Rural-suburban mix,-3,R+3,83.9,10.1,2.4,1.9,0.2,1.5,30.2,30.1,49758,58.6
IL14,Illinois,IL,14,IL-14,-5,Lauren Underwood,D,Yes (to Democrats),"156,035","141,164",0,52.50,47.50,44.8,48.7,Sparse suburban,-5,R+5,85.4,3.1,7.1,3.4,0.1,0.8,42.1,43.1,90345,48.6
IL15,Illinois,IL,15,IL-15,-21,John Shimkus,R,No,"74,309","181,294",5,29.10,70.90,24.5,70.7,Pure rural,-21,R+21,92.8,4.2,1.7,0.4,0.2,0.8,20.2,20.6,49927,73.6
IL16,Illinois,IL,16,IL-16,-8,Adam Kinzinger,R,No,"104,569","151,254",2,40.90,59.10,38.3,55.5,Rural-suburban mix,-8,R+8,89.1,3.5,5.2,1,0.1,0.9,22.2,22.5,57182,69
IL17,Illinois,IL,17,IL-17,3,Cheri Bustos,D,No,"142,659","87,090",0,62.10,37.90,46.7,47.4,Rural-suburban mix,3,D+3,82.6,10.1,5.2,0.8,0.2,1.1,18.7,20.5,45360,65.6
IL18,Illinois,IL,18,IL-18,-15,Darin LaHood,R,No,"95,486","195,927",0,32.80,67.20,33.3,60.6,Rural-suburban mix,-15,R+15,92.2,3.6,1.8,1.2,0.1,1,31.7,31,60857,63.6
IN1,Indiana,IN,1,IN-1,8,Peter Visclosky,D,No,"159,611","85,594",4,65.10,34.90,54.1,41.5,Sparse suburban,8,D+8,68.2,18.4,11.5,0.8,0.2,0.9,22.6,25.8,56370,50.5
IN2,Indiana,IN,2,IN-2,-11,Jackie Walorski,R,No,"103,363","125,499",27,45.20,54.80,36.1,59.3,Rural-suburban mix,-11,R+11,87.3,6.2,4.2,0.8,0.3,1.1,20.8,22.1,51292,67.9
IN3,Indiana,IN,3,IN-3,-18,Jim Banks,R,No,"86,610","158,927",0,35.30,64.70,30.1,65.1,Rural-suburban mix,-18,R+18,88.9,5.6,3,1.1,0.2,1.2,22.9,23.8,51453,67.7
IN4,Indiana,IN,4,IN-4,-17,Jim Baird,R,No,"87,824","156,539",0,35.90,64.10,30.2,64.3,Rural-suburban mix,-17,R+17,91.6,3.4,2.8,1.2,0.2,0.8,26,26.6,53996,67.1
IN5,Indiana,IN,5,IN-5,-9,Susan Brooks,R,No,"137,142","180,035",0,43.20,56.80,41.3,53.1,Sparse suburban,-9,R+9,86.4,8.1,2.3,2,0.1,1.1,45,45.9,67461,46.7
IN6,Indiana,IN,6,IN-6,-18,Greg Pence,R,No,"79,430","154,260","8,036",32.90,63.80,27.4,67.7,Pure rural,-18,R+18,94.6,2.3,1.4,0.5,0.2,1.1,20.7,20.2,51033,75.4
IN7,Indiana,IN,7,IN-7,11,Andre Carson,D,No,"141,139","76,457",233,64.80,35.10,59,36.2,Dense suburban,11,D+11,63.7,29.4,3.8,1.2,0.3,1.7,23.5,29.4,41429,44.9
IN8,Indiana,IN,8,IN-8,-15,Larry Bucshon,R,No,"86,895","157,396",0,35.60,64.40,30.9,64.6,Rural-suburban mix,-15,R+15,92.9,3.9,1.3,0.6,0.2,1,21.3,21.5,50261,72.9
IN9,Indiana,IN,9,IN-9,-13,Trey Hollingsworth,R,No,"118,090","153,271",0,43.50,56.50,34.2,61.1,Rural-suburban mix,-13,R+13,93.4,2.6,1.7,1,0.2,1.1,26.3,26.3,55078,68.8
KS1,Kansas,KS,1,KS-1,-24,Roger Marshall,R,No,"71,558","153,082",0,31.90,68.10,24.3,69.3,Pure rural,-24,R+24,86,3,8.1,1,0.5,1.4,23.9,26.1,48156,63.5
KS2,Kansas,KS,2,KS-2,-10,Steve Watkins,R,No,"123,859","126,098","14,731",46.80,47.60,37.4,55.8,Pure rural,-10,R+10,86.9,4.4,4.2,0.8,1.2,2.5,29.2,30.2,51778,60.6
KS3,Kansas,KS,3,KS-3,-4,Sharice Davids,D,Yes (to Democrats),"170,518","139,762","8,021",53.60,43.90,47.2,46,Dense suburban,-4,R+4,81.4,8.5,5.5,2.6,0.3,1.6,47.4,52.3,71562,38.8
KS4,Kansas,KS,4,KS-4,-15,Ron Estes,R,No,"98,445","144,248",0,40.60,59.40,33,60.2,Sparse suburban,-15,R+15,81.5,6.5,6.8,2.4,0.9,1.9,29.5,32,52054,55.4
KY1,Kentucky,KY,1,KY-1,-23,James Comer,R,No,"78,849","172,167",0,31.40,68.60,23.9,72.4,Pure rural,-23,R+23,90.1,6.9,1.5,0.4,0.2,0.9,15.7,16.1,40253,75.6
KY2,Kentucky,KY,2,KY-2,-19,Brett Guthrie,R,No,"79,964","171,700","5,681",31.10,66.70,27.6,67.5,Pure rural,-19,R+19,90.8,5.4,1.6,0.8,0.2,1.2,20.9,21.1,49960,71.6
KY3,Kentucky,KY,3,KY-3,6,John Yarmuth,D,No,"173,002","101,930","3,788",62.10,36.60,54.9,39.9,Dense suburban,6,D+6,74.6,20,2.3,1.4,0.1,1.5,30.9,34.6,51070,48.8
KY4,Kentucky,KY,4,KY-4,-18,Thomas Massie,R,No,"90,536","162,946","8,330",34.60,62.20,29.3,65.2,Rural-suburban mix,-18,R+18,93.4,3.3,1.5,0.6,0.1,1,28.3,28.3,60912,67
KY5,Kentucky,KY,5,KY-5,-31,Hal Rogers,R,No,"45,890","172,093",34,21.00,78.90,17.5,79.6,Pure rural,-31,R+31,96.7,1.5,0.7,0.2,0.2,0.6,12.4,12.5,30585,84.6
KY6,Kentucky,KY,6,KY-6,-9,Andy Barr,R,No,"144,736","154,468","3,684",47.80,51.00,39.4,54.7,Rural-suburban mix,-9,R+9,87.6,8.5,1.6,0.9,0.2,1.3,31.7,33.1,50659,58.6
LA1,Louisiana,LA,1,LA-1,-24,Steve Scalise,R,No,"71,521","192,555","5,249",26.60,71.50,26.7,68.7,Rural-suburban mix,-24,R+24,78.1,12.6,5.4,1.6,1.1,1.2,30.3,33.4,56938,51.9
LA2,Louisiana,LA,2,LA-2,25,Cedric Richmond,D,No,"190,182",0,"45,800",80.60,0.00,74.6,22.2,Dense suburban,25,D+25,31.7,61.5,3.7,2,0.2,1,23.4,36.4,36798,20.1
LA3,Louisiana,LA,3,LA-3,-20,Clay Higgins,R,No,"74,713","168,263","2,967",30.40,68.40,29.2,67.3,Rural-suburban mix,-20,R+20,72.1,23.6,2,0.9,0.4,1.1,21,24,44668,54.7
LA4,Louisiana,LA,4,LA-4,-13,Mike Johnson,R,No,"72,934","139,326","4,612",33.60,64.20,36.6,60.6,Pure rural,-13,R+13,61.9,33.1,2.4,0.8,0.8,1,19.9,22.9,39748,47.7
LA5,Louisiana,LA,5,LA-5,-15,Ralph Abraham,R,No,"67,118","149,018","7,810",30.00,66.50,34.1,63.5,Pure rural,-15,R+15,63.1,34,1.3,0.4,0.4,0.7,16.8,19.7,36718,50.7
LA6,Louisiana,LA,6,LA-6,-19,Garret Graves,R,No,"76,716","186,553","5,256",28.60,69.50,31,64.8,Rural-suburban mix,-19,R+19,72,22.6,2.5,1.5,0.4,1.1,27.9,30.8,59270,49.8
MA1,Massachusetts,MA,1,MA-1,12,Richard Neal,D,No,"211,790",0,"5,110",97.60,0.00,57.2,36.5,Sparse suburban,12,D+12,79,5,13.5,1.3,0.1,1,29.7,33.4,55716,52.5
MA2,Massachusetts,MA,2,MA-2,9,Jim McGovern,D,No,"191,332","93,391",170,67.20,32.80,56.2,36.8,Rural-suburban mix,9,D+9,85.2,3.3,7,3.3,0.2,1.1,38.4,39.4,64868,51.5
MA3,Massachusetts,MA,3,MA-3,9,Lori Trahan,D,No,"173,175","93,445","12,707",62.00,33.50,58.2,35.4,Sparse suburban,9,D+9,77.6,2.3,13.3,5.7,0.1,1,37.4,41.4,77995,45.3
MA4,Massachusetts,MA,4,MA-4,9,Joe Kennedy,D,No,"245,289",0,"5,727",97.70,0.00,59.2,35,Sparse suburban,9,D+9,89.2,2.5,3.3,3.9,0,1.1,51,50.3,98530,44.2
MA5,Massachusetts,MA,5,MA-5,18,Katherine Clark,D,No,"236,243","74,856",225,75.90,24.00,69.3,25.7,Urban-suburban mix,18,D+18,82,3.7,5.8,7,0.1,1.4,57.4,59.6,92268,33
MA6,Massachusetts,MA,6,MA-6,6,Seth Moulton,D,No,"217,703","104,798","11,474",65.20,31.40,56.1,38.2,Sparse suburban,6,D+6,89,2.3,5,2.8,0.1,0.9,44,46.2,84913,47.8
MA7,Massachusetts,MA,7,MA-7,34,Ayanna Pressley,D,No,"216,559",0,"3,852",98.30,0.00,84.1,11.9,Pure urban,34,D+34,53.1,23,14,7.7,0.2,2,42.9,64.5,60873,18.7
MA8,Massachusetts,MA,8,MA-8,10,Stephen Lynch,D,No,"259,159",0,"4,148",98.40,0.00,60.4,34.4,Dense suburban,10,D+10,81.4,7.6,4.2,5.5,0.1,1.2,46.8,50.3,82333,40.2
MA9,Massachusetts,MA,9,MA-9,4,Bill Keating,D,No,"192,347","131,463",118,59.40,40.60,52.5,41.8,Sparse suburban,4,D+4,91.9,2.3,3.3,1,0.2,1.3,35.9,37.5,68173,56.7
MD1,Maryland,MD,1,MD-1,-14,Andy Harris,R,No,"116,631","183,662","5,893",38.10,60.00,33.4,62,Rural-suburban mix,-14,R+14,84,11.2,1.9,1.5,0.2,1.1,30.6,32.2,69254,56.9
MD2,Maryland,MD,2,MD-2,11,Dutch Ruppersberger,D,No,"167,201","77,782","8,319",66.00,30.70,60.1,35.7,Dense suburban,11,D+11,59.1,31.9,3.3,3.7,0.3,1.7,33.4,33.4,69128,39.3
MD3,Maryland,MD,3,MD-3,13,John Sarbanes,D,No,"202,407","82,774","7,699",69.10,28.30,62.8,32.3,Dense suburban,13,D+13,67.6,20.3,4.5,5.5,0.2,1.9,47.2,51.7,83620,32.6
MD4,Maryland,MD,4,MD-4,28,Anthony Brown,D,No,"209,642","53,327","5,614",78.10,19.90,77.2,19.7,Dense suburban,28,D+28,31.7,58.1,5.6,2.7,0.2,1.7,34,50.2,79350,15.8
MD5,Maryland,MD,5,MD-5,16,Steny Hoyer,D,No,"213,796","82,361","8,052",70.30,27.10,64.1,32.1,Sparse suburban,16,D+16,51.6,38.5,4.1,3.2,0.3,2.3,33.7,34.5,95442,33.7
MD6,Maryland,MD,6,MD-6,6,David Trone,D,No,"163,346","105,209","8,529",59.00,38.00,55.3,40.2,Sparse suburban,6,D+6,70.1,12.4,7,8.7,0.2,1.8,41.5,40.8,75774,41.4
MD7,Maryland,MD,7,MD-7,26,Elijah Cummings,D,No,"202,345","56,266","6,099",76.40,21.30,75.8,20.2,Urban-suburban mix,26,D+26,36.9,54.5,2.3,4.6,0.3,1.5,37.8,58.7,61392,15.2
MD8,Maryland,MD,8,MD-8,14,Jamie Raskin,D,No,"217,679","96,525","5,126",68.20,30.20,65,30.6,Dense suburban,14,D+14,70.9,11,8,8.2,0.2,1.8,55.6,61.6,98991,27.2
ME1,Maine,ME,1,ME-1,8,Chellie Pingree,D,No,"201,195","111,188","29,670",58.80,32.50,54.1,39.3,Rural-suburban mix,8,D+8,95.4,0.9,1.2,1,0.3,1.2,36.9,37.3,61173,59.8
ME2,Maine,ME,2,ME-2,-2,Jared Golden,D,Yes (to Democrats),"142,440","138,931",0,50.60,49.40,41.1,51.4,Pure rural,-2,R+2,96,0.4,1,0.4,0.8,1.4,23,23.1,46638,73.8
MI1,Michigan,MI,1,MI-1,-9,Jack Bergman,R,No,"145,246","187,251",0,43.70,56.30,36.6,57.9,Pure rural,-9,R+9,92.9,1.8,1.2,0.4,2.1,1.6,24.6,25.2,46927,69.5
MI2,Michigan,MI,2,MI-2,-9,Bill Huizenga,R,No,"131,254","168,970","5,239",43.00,55.30,38.2,55.8,Rural-suburban mix,-9,R+9,85.5,5.8,5.3,1.5,0.4,1.6,23.8,25.7,52919,63.4
MI3,Michigan,MI,3,MI-3,-6,Justin Amash,R,No,"134,185","169,107","7,448",43.20,54.40,42.2,51.6,Rural-suburban mix,-6,R+6,85.5,7.9,3.7,1,0.4,1.5,31.4,33.6,57926,56.7
MI4,Michigan,MI,4,MI-4,-10,John Moolenaar,R,No,"106,540","178,510",0,37.40,62.60,34.7,59.5,Pure rural,-10,R+10,93.5,1.9,2.3,0.5,0.6,1.2,21.9,21.7,48434,73.2
MI5,Michigan,MI,5,MI-5,5,Daniel Kildee,D,No,"164,502","99,265","12,646",59.50,35.90,49.7,45.5,Sparse suburban,5,D+5,77.4,16.3,3.8,0.6,0.3,1.6,19,20.4,42800,61.6
MI6,Michigan,MI,6,MI-6,-4,Fred Upton,R,No,"134,082","147,436","11,920",45.70,50.20,42.9,51.3,Rural-suburban mix,-4,R+4,86,7.5,3.4,1,0.3,1.8,28,29.2,51477,60.8
MI7,Michigan,MI,7,MI-7,-7,Tim Walberg,R,No,"136,330","158,730",0,46.20,53.80,38.7,55.7,Pure rural,-7,R+7,90.7,4.1,3.1,0.6,0.4,1.1,24.6,24.8,56427,68.1
MI8,Michigan,MI,8,MI-8,-4,Elissa Slotkin,D,Yes (to Democrats),"172,880","159,782","8,931",50.60,46.80,43.9,50.6,Sparse suburban,-4,R+4,87.2,5.2,3.6,2.1,0.2,1.6,40.6,40,66495,52.3
MI9,Michigan,MI,9,MI-9,4,Andy Levin,D,No,"181,734","112,123","10,706",59.70,36.80,51.5,43.7,Dense suburban,4,D+4,82.1,11.5,1.8,2.8,0.3,1.5,30.3,30.4,56582,57.1
MI10,Michigan,MI,10,MI-10,-13,Paul Mitchell,R,No,"106,061","182,808","14,195",35.00,60.30,31.6,63.8,Rural-suburban mix,-13,R+13,92.5,2.9,2.1,1.2,0.2,1.1,23,22.9,60934,71.3
MI11,Michigan,MI,11,MI-11,-4,Haley Stevens,D,Yes (to Democrats),"181,912","158,463","10,526",51.80,45.20,45.3,49.7,Sparse suburban,-4,R+4,85.6,5.4,2.2,5.3,0.2,1.3,46.6,44.3,79805,47.6
MI12,Michigan,MI,12,MI-12,14,Debbie Dingell,D,No,"200,588","85,115","8,925",68.10,28.90,60.8,34.5,Dense suburban,14,D+14,80,10.3,4.3,3.1,0.3,2.1,34,34,55506,52.7
MI13,Michigan,MI,13,MI-13,32,Rashida Tlaib,D,No,"165,355",0,"30,944",84.20,0.00,78.8,18.1,Dense suburban,32,D+32,37.3,56.6,3.5,0.7,0.4,1.4,14.7,16.9,33995,30.8
MI14,Michigan,MI,14,MI-14,30,Brenda Lawrence,D,No,"214,334","45,899","4,761",80.90,17.30,79.2,18.3,Dense suburban,30,D+30,33.5,58.8,2.9,2.6,0.3,2,30.8,48.5,42695,17.2
MN1,Minnesota,MN,1,MN-1,-5,Jim Hagedorn,R,Yes (to Republicans),"144,885","146,200",576,49.70,50.10,38.4,53.3,Rural-suburban mix,-5,R+5,92.8,1.9,2.7,1.6,0.2,0.8,28,29,60424,65.8
MN2,Minnesota,MN,2,MN-2,-2,Angie Craig,D,Yes (to Democrats),"177,958","159,344",666,52.70,47.10,45.3,46.5,Sparse suburban,-2,R+2,88.7,3.3,2.8,3.5,0.4,1.3,38.5,40,80128,53.2
MN3,Minnesota,MN,3,MN-3,1,Dean Phillips,D,Yes (to Democrats),"202,404","160,839",706,55.60,44.20,50.8,41.4,Sparse suburban,1,D+1,86.8,4.9,1.9,4.8,0.2,1.3,49,51.1,84689,42.4
MN4,Minnesota,MN,4,MN-4,14,Betty McCollum,D,No,"216,865","97,747","14,003",66.00,29.70,61.5,30.6,Dense suburban,14,D+14,78.6,7.6,3.7,7.6,0.5,2,42.2,47.9,66175,40.9
MN5,Minnesota,MN,5,MN-5,26,Ilhan Omar,D,No,"267,703","74,440","1,215",78.00,21.70,73.7,18.5,Urban-suburban mix,26,D+26,75.5,13.3,3.3,4.1,1,2.7,44.5,53.1,59115,35.4
MN6,Minnesota,MN,6,MN-6,-12,Tom Emmer,R,No,"122,332","192,931",463,38.70,61.10,33.2,58.9,Rural-suburban mix,-12,R+12,93.6,1.6,1.5,1.8,0.4,1.1,29.5,29.7,77049,65.8
MN7,Minnesota,MN,7,MN-7,-12,Collin Peterson,D,No,"146,672","134,668",169,52.10,47.80,31,61.8,Pure rural,-12,R+12,93.4,0.6,2.2,0.5,2.3,1,21.8,22.5,52620,72.4
MN8,Minnesota,MN,8,MN-8,-4,Pete Stauber,R,Yes (to Republicans),"141,950","159,364","12,897",45.20,50.70,38.6,54.2,Pure rural,-4,R+4,94,0.9,1.1,0.5,2.2,1.3,23,23.5,53676,71.9
MO1,Missouri,MO,1,MO-1,29,Lacy Clay,D,No,"219,781","45,867","8,727",80.10,16.70,77,18.8,Dense suburban,29,D+29,46.8,47.8,1.8,1.7,0.2,1.8,31.8,43.4,45172,26.4
MO2,Missouri,MO,2,MO-2,-8,Ann Wagner,R,No,"177,611","192,477","5,978",47.20,51.20,42.3,52.6,Dense suburban,-8,R+8,91.1,3.6,1.6,2.6,0.1,0.9,49.2,49,79724,46.4
MO3,Missouri,MO,3,MO-3,-18,Blaine Luetkemeyer,R,No,"106,589","211,243","6,776",32.80,65.10,28.1,67.1,Rural-suburban mix,-18,R+18,93.5,3.1,1.5,0.6,0.3,1.1,26.4,26.3,61929,68.9
MO4,Missouri,MO,4,MO-4,-17,Vicky Hartzler,R,No,"95,968","190,138","7,210",32.70,64.80,29.3,65.3,Pure rural,-17,R+17,90,4.6,2.4,0.8,0.4,1.8,23.9,23.8,48065,68.5
MO5,Missouri,MO,5,MO-5,7,Emanuel Cleaver,D,No,"175,019","101,069","7,697",61.70,35.60,54.1,40.6,Dense suburban,7,D+7,70.7,21,4.9,1.4,0.4,1.6,28.2,32.5,48693,47.6
MO6,Missouri,MO,6,MO-6,-16,Sam Graves,R,No,"97,660","199,796","7,953",32.00,65.40,31.7,63.1,Rural-suburban mix,-16,R+16,91,3.8,2.7,0.9,0.3,1.3,28.6,29,58532,64.5
MO7,Missouri,MO,7,MO-7,-23,Billy Long,R,No,"89,190","196,343","10,922",30.10,66.20,24.7,70.4,Rural-suburban mix,-23,R+23,92.5,1.7,2.4,0.9,0.9,1.7,23.2,23.8,44619,70.5
MO8,Missouri,MO,8,MO-8,-24,Jason Smith,R,No,"66,151","194,042","4,206",25.00,73.40,21,75.4,Pure rural,-24,R+24,92.6,4.3,1.2,0.2,0.5,1.2,15,15.3,40639,78.4
MS1,Mississippi,MS,1,MS-1,-16,Trent Kelly,R,No,"76,601","158,245","1,675",32.40,66.90,32.4,65.4,Pure rural,-16,R+16,70.9,26.5,1.5,0.5,0.1,0.5,20.7,22.7,43194,54.8
MS2,Mississippi,MS,2,MS-2,14,Bennie Thompson,D,No,"158,921",0,"62,458",71.80,0.00,63.6,35.1,Pure rural,14,D+14,34.2,63.5,1.2,0.4,0.3,0.4,19.3,25,34392,25.7
MS3,Mississippi,MS,3,MS-3,-13,Michael Guest,R,No,"94,461","160,284","2,526",36.70,62.30,36.8,61.3,Pure rural,-13,R+13,63,34,1.1,0.6,0.8,0.5,25.9,31.5,45115,43.1
MS4,Mississippi,MS,4,MS-4,-21,St0 Palazzo,R,No,"68,787","152,633","2,312",30.70,68.20,28.2,69.4,Rural-suburban mix,-21,R+21,73,22.3,2.3,1.1,0.3,1,21.1,23.5,45192,55.8
MTAL,Montana,MT,AL,MT-AL,-11,Greg Gianforte,R,No,"233,284","256,661","14,476",46.20,50.90,35.9,56.5,Pure rural,-11,R+11,89.5,0.4,2.6,0.6,5.4,1.7,31,31.9,50027,60.9
NC1,North Carolina,NC,1,NC-1,17,G.K. Butterfield,D,No,"190,457","82,218",0,69.80,30.20,67.5,30.5,Rural-suburban mix,17,D+17,47.8,46.1,2.6,1.3,0.7,1.4,27.7,37.7,40895,29.7
