District,State,State_Abbreviation,CD#,CD,2018_Cook_PVI_Score,2018_Winner,Party,flipped_seat,Dem_Votes_2018,GOP_Votes_2018,Other_Votes_2018,Dem_2018_Vote_Share,GOP_2018_Vote_Share,Clinton_Vote_Share,Trump_Vote_Share,City_Lab_Congressional_Index,2018_Cook_PVI_Score_intg,2018_Cook_PVI_Index,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white
CA5,California,CA,5,CA-5,21,Mike Thompson,D,No,"205,860",0,"55,158",78.90,0.00,69.2,24.3,Dense suburban,21,D+21,61.8,6.6,16.8,11,0.5,3.3,31.2,37.5,73006,38.5
CA6,California,CA,6,CA-6,21,Doris Matsui,D,No,"201,939",0,0,100.00,0.00,69.2,24.4,Urban-suburban mix,21,D+21,46.3,13.6,20.2,15.8,0.5,3.7,27.5,36.6,51932,29.2
CA7,California,CA,7,CA-7,3,Ami Bera,D,No,"155,016","126,601",0,55.00,45.00,52.3,40.9,Dense suburban,3,D+3,61.6,7.6,13,13.7,0.5,3.5,32.9,34.1,68735,40.5
CA8,California,CA,8,CA-8,-9,Paul Cook,R,No,0,"170,785",0,0.00,100.00,39.6,54.7,Rural-suburban mix,-9,R+9,56.2,8,29.8,3.1,0.9,1.9,17.1,20.6,49194,44.5
CA9,California,CA,9,CA-9,8,Jerry McNerney,D,No,"113,414","87,349",0,56.50,43.50,56.6,38,Dense suburban,8,D+8,45.7,9.7,27.3,13.9,0.4,3,19.1,24.4,61454,34.4
CA10,California,CA,10,CA-10,0,Josh Harder,D,Yes (to Democrats),"115,945","105,955",0,52.30,47.70,48.5,45.5,Dense suburban,0,EVEN,55.6,3.5,30.8,6.8,0.5,2.8,16.6,21,60235,43.8
CA11,California,CA,11,CA-11,21,Mark DeSaulnier,D,No,"204,369","71,312",0,74.10,25.90,71.5,22.7,Urban-suburban mix,21,D+21,57.6,9.5,16,13.3,0.3,3.4,43.6,56.5,86000,25
CA12,California,CA,12,CA-12,37,Nancy Pelosi,D,No,"275,292","41,780",0,86.80,13.20,86.2,8.7,Pure urban,37,D+37,49.5,5.7,11,30.7,0.2,3,59.5,78.1,105918,10.8
CA13,California,CA,13,CA-13,40,Barbara Lee,D,No,"260,580",0,"34,257",88.40,0.00,87.4,6.8,Pure urban,40,D+40,42,19.8,13.6,20.2,0.4,3.9,47.2,70.8,73601,12.2
CA14,California,CA,14,CA-14,27,Jackie Speier,D,No,"211,384","55,439",0,79.20,20.80,76.9,18.2,Urban-suburban mix,27,D+27,42.9,3.6,17.3,33.2,0.2,2.7,47.5,56.9,103850,18.4
CA15,California,CA,15,CA-15,20,Eric Swalwell,D,No,"177,989","65,940",0,73.00,27.00,69.9,24.2,Urban-suburban mix,20,D+20,43.9,7,17.1,28.7,0.3,3,45,47.1,106291,23.2
CA16,California,CA,16,CA-16,9,Jim Costa,D,No,"82,266","60,693",0,57.50,42.50,58,36.4,Dense suburban,9,D+9,34.6,7.6,46.1,9.3,0.6,1.8,12.2,21.3,40207,27.1
