District,State,Representative,Age_0_to_17_with_Pre-existing_Condition,Age_18_to_24_with_Pre-existing_Condition,Age_25_to_34_with_Pre-existing_Condition,Age_35_to_44_with_Pre-existing_Condition,Age_45_to_54_with_Pre-existing_Condition,Age_55_to_64_with_Pre-existing_Condition,Nonelderly_with_Pre-existing_Condition,Percent_of_Nonelderly_with_Pre-existing_Condition,Nonelderly_with_Pre_existing_Condition,rep_party_2012,GOP2012_percent,DEM2012_percent,GOP_margin_2012,winning_party_2012,rep_party_2014,GOP2014_percent,DEM2014_percent,GOP_margin_2014,open_seat_2014,winning_party_2014,rep_party_2016,GOP2016_percent,DEM2016_percent,GOP_margin_2016,winning_party_2016,rep_party_2018,GOP2018_percent,DEM2018_percent,GOP_margin_2018,winning_party_2018,COOK_PVI,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white,PRES_GOP_MARGIN_2016,PRES_GOP_MARGIN_2012,PRES_GOP_MARGIN_2008,CITYLAB_CDI
CA-35,California,Norma Torres,48200,32200,53100,63500,72200,53200,"322,300",48.0,322300,D,0.0,100,-100,D,Open-Used to be Dem,0.0,100,-100,,D,D,27.6,72.4,-44.8,D,DEM,32.0,68.0,-36.0,D,-19,21.8,8.8,59.8,7.3,0.3,2.0,16.1,23.8,57159,16.5,-40.79,-36.82,-31.8,Urban-suburban mix
CA-36,California,Raul Ruiz,42700,23100,41900,52600,62800,66000,"289,100",50.0,289100,R,47.1,52.9,-5.8,D,D,45.8,54.2,-8.4,,D,D,37.9,62.1,-24.2,D,DEM,42.9,57.1,-14.2,D,-2,55.8,4.6,34.4,3.1,0.6,1.5,20.6,29.8,44567,39.1,-8.74,-3.17,-3.1,Dense suburban
CA-37,California,Karen Bass,33300,31300,60700,59400,68700,60900,"314,300",51.0,314300,D,13.6,86.4,-72.8,D,D,15.7,84.3,-68.6,,D,D,0.0,100.0,-100.0,D,DEM,11.3,88.7,-77.4,D,-37,32.3,29.5,25.7,10.0,0.2,2.4,36.9,66.6,55190,10.7,-76.05,-72.18,-71.5,Pure urban
CA-38,California,Linda Sanchez,39500,28700,45500,59500,70400,66700,"310,300",50.0,310300,D,32.5,67.5,-35,D,D,40.9,59.1,-18.2,,D,D,29.5,70.5,-41.0,D,DEM,32.6,67.4,-34.8,D,-17,22.8,4.4,55.4,15.9,0.4,1.1,23.5,25.6,66421,16.8,-39.56,-31.91,-25.9,Pure urban
CA-39,California,Gil Cisneros,38400,26100,44700,54000,79200,78300,"320,700",52.0,320700,R,57.8,42.2,15.6,R,R,68.5,31.5,37,,R,R,57.2,42.8,14.4,R,DEM,50.0,50.0,0.0,D,0,39.6,2.5,27.2,28.5,0.2,2.0,41.6,43.7,85188,22.2,-8.61,3.66,2.1,Dense suburban
CA-40,California,Lucille Roybal-Allard,49100,31600,49600,61100,65100,54500,"311,000",48.0,311000,D,0.0,100,-100,D,D,0.0,100,-100,,D,D,0.0,71.4,-71.4,D,DEM,22.3,77.7,-55.4,D,-33,8.7,7.9,79.0,3.7,0.2,0.5,9.8,24.6,42902,6.5,-69.45,-64.96,-57.5,Pure urban
CA-41,California,Mark Takano,47400,37600,53000,54200,67900,56600,"316,700",48.0,316700,Open Post-Redistrict,41.0,59,-18,D,D,43.4,56.6,-13.2,,D,D,35.0,65.0,-30.0,D,DEM,38.9,61.1,-22.2,D,-12,33.6,11.2,46.6,6.1,0.4,2.0,18.3,28.2,62069,24.0,-27.87,-25.2,-20.5,Dense suburban
CA-42,California,Ken Calvert,50000,25100,46200,61200,80900,70100,"333,500",50.0,333500,R,60.6,39.4,21.2,R,R,65.7,34.3,31.4,,R,R,58.8,41.2,17.6,R,GOP,58.9,41.1,17.8,R,9,52.2,5.9,30.0,9.0,0.4,2.5,25.0,27.4,76504,37.8,11.95,15.15,10.9,Sparse suburban
CA-43,California,Maxine Waters,43500,28600,51700,60600,71600,61800,"317,800",49.0,317800,D,0.0,100,-100,D,D,29.0,71,-42,,D,D,23.9,76.1,-52.2,D,DEM,23.6,76.4,-52.8,D,-29,20.6,28.7,33.9,13.8,0.2,2.8,26.5,46.2,54614,11.0,-61.69,-57.99,-53.4,Pure urban
CA-44,California,Nanette Barragan,45900,31000,47900,52500,69700,54500,"301,500",48.0,301500,D,0.0,100,-100,D,D,0.0,86.7,-86.7,,D,Open-Used to be Dem,0.0,100.0,-100.0,D,DEM,30.5,69.5,-39.0,D,-35,10.9,22.5,56.8,7.8,0.3,1.7,12.3,26.5,50890,8.0,-70.77,-71.06,-65.2,Pure urban
