District,State_x,Representative,Age_0_to_17_with_Pre-existing_Condition,Age_18_to_24_with_Pre-existing_Condition,Age_25_to_34_with_Pre-existing_Condition,Age_35_to_44_with_Pre-existing_Condition,Age_45_to_54_with_Pre-existing_Condition,Age_55_to_64_with_Pre-existing_Condition,Nonelderly_with_Pre-existing_Condition,Percent_of_Nonelderly_with_Pre-existing_Condition,Nonelderly_with_Pre_existing_Condition,State_Abbreviation,CD#,2018_Cook_PVI_Score,Party,flipped_seat,Dem_Votes_2018,GOP_Votes_2018,Other_Votes_2018,Dem_2018_Vote_Share,GOP_2018_Vote_Share,Clinton_Vote_Share,Trump_Vote_Share,City_Lab_Congressional_Index,2018_Cook_PVI_Index,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white
AR-3,Arkansas,Steve Womack,47000,30500,50000,55100,67300,64600,"314,500",49.0,314500,AR,3,-19,R,No,"74,952","148,717","6,039",32.6,64.7,30.5,61.9,Rural-suburban mix,R+19,86.2,2.9,5.9,1.9,1.1,2.0,26.9,28.8,47903,61.3
AR-4,Arkansas,Bruce Westerman,39000,23400,34700,45900,64700,67000,"274,700",50.0,274700,AR,4,-17,R,No,"63,984","136,740","4,168",31.2,66.7,31.3,64.2,Pure rural,R+17,76.5,19.1,2.2,0.4,0.6,1.2,15.8,17.0,39586,63.4
CA-1,California,Doug LaMalfa,34100,25500,38300,41300,59900,79300,"278,500",52.0,278500,CA,1,-11,R,No,"131,548","160,046",0,45.1,54.9,36.5,56.2,Rural-suburban mix,R+11,82.7,1.5,9.4,2.2,1.5,2.7,23.7,25.7,47488,61.4
CA-2,California,Jared Huffman,34200,22300,36600,51400,72400,84300,"301,300",53.0,301300,CA,2,22,D,No,"243,081","72,576",0,77.0,23.0,69.0,23.3,Rural-suburban mix,D+22,80.6,1.6,9.7,3.4,1.8,2.9,40.8,45.9,66604,43.5
CA-3,California,John Garamendi,42300,33200,46200,50500,65300,65500,"303,100",49.0,303100,CA,3,5,D,No,"134,875","97,376",0,58.1,41.9,53.0,40.4,Rural-suburban mix,D+5,58.8,6.8,19.6,10.5,0.8,3.5,25.1,28.5,61508,41.9
CA-4,California,Tom McClintock,34700,20400,33900,49200,74400,83500,"296,100",53.0,296100,CA,4,-10,R,No,"156,253","184,401",0,45.9,54.1,39.3,54.0,Rural-suburban mix,R+10,82.3,1.3,9.1,4.0,0.9,2.4,33.3,33.7,74074,54.5
CA-5,California,Mike Thompson,36700,24200,45300,52100,70100,78900,"307,400",52.0,307400,CA,5,21,D,No,"205,860",0,"55,158",78.9,0.0,69.2,24.3,Dense suburban,D+21,61.8,6.6,16.8,11.0,0.5,3.3,31.2,37.5,73006,38.5
CA-6,California,Doris Matsui,44800,26900,58500,56400,62000,61000,"309,500",49.0,309500,CA,6,21,D,No,"201,939",0,0,100.0,0.0,69.2,24.4,Urban-suburban mix,D+21,46.3,13.6,20.2,15.8,0.5,3.7,27.5,36.6,51932,29.2
CA-7,California,Ami Bera,40400,23200,46700,54800,75600,75600,"316,200",51.0,316200,CA,7,3,D,No,"155,016","126,601",0,55.0,45.0,52.3,40.9,Dense suburban,D+3,61.6,7.6,13.0,13.7,0.5,3.5,32.9,34.1,68735,40.5
CA-8,California,Paul Cook,46100,27600,43400,44500,63900,64400,"289,900",48.0,289900,CA,8,-9,R,No,0,"170,785",0,0.0,100.0,39.6,54.7,Rural-suburban mix,R+9,56.2,8.0,29.8,3.1,0.9,1.9,17.1,20.6,49194,44.5
CA-9,California,Jerry McNerney,48800,27800,46700,53400,69900,61200,"307,800",48.0,307800,CA,9,8,D,No,"113,414","87,349",0,56.5,43.5,56.6,38.0,Dense suburban,D+8,45.7,9.7,27.3,13.9,0.4,3.0,19.1,24.4,61454,34.4
CA-10,California,Josh Harder,48000,26900,45000,55600,71400,64200,"311,200",49.0,311200,CA,10,0,D,Yes (to Democrats),"115,945","105,955",0,52.3,47.7,48.5,45.5,Dense suburban,EVEN,55.6,3.5,30.8,6.8,0.5,2.8,16.6,21.0,60235,43.8
CA-11,California,Mark DeSaulnier,40200,23500,45300,56300,79000,79700,"323,900",52.0,323900,CA,11,21,D,No,"204,369","71,312",0,74.1,25.9,71.5,22.7,Urban-suburban mix,D+21,57.6,9.5,16.0,13.3,0.3,3.4,43.6,56.5,86000,25.0
CA-12,California,Nancy Pelosi,23500,18000,82700,71300,75000,67700,"338,300",54.0,338300,CA,12,37,D,No,"275,292","41,780",0,86.8,13.2,86.2,8.7,Pure urban,D+37,49.5,5.7,11.0,30.7,0.2,3.0,59.5,78.1,105918,10.8
CA-13,California,Barbara Lee,34200,28600,62000,64500,73500,67400,"330,200",51.0,330200,CA,13,40,D,No,"260,580",0,"34,257",88.4,0.0,87.4,6.8,Pure urban,D+40,42.0,19.8,13.6,20.2,0.4,3.9,47.2,70.8,73601,12.2
CA-14,California,Jackie Speier,36000,23900,51900,63100,78100,80300,"333,200",53.0,333200,CA,14,27,D,No,"211,384","55,439",0,79.2,20.8,76.9,18.2,Urban-suburban mix,D+27,42.9,3.6,17.3,33.2,0.2,2.7,47.5,56.9,103850,18.4
CA-15,California,Eric Swalwell,45300,20400,48800,69100,82000,77200,"342,800",51.0,342800,CA,15,20,D,No,"177,989","65,940",0,73.0,27.0,69.9,24.2,Urban-suburban mix,D+20,43.9,7.0,17.1,28.7,0.3,3.0,45.0,47.1,106291,23.2
CA-16,California,Jim Costa,54800,30700,50700,52500,60400,51000,"300,200",46.0,300200,CA,16,9,D,No,"82,266","60,693",0,57.5,42.5,58.0,36.4,Dense suburban,D+9,34.6,7.6,46.1,9.3,0.6,1.8,12.2,21.3,40207,27.1
CA-17,California,Ro Khanna,38600,22900,60300,71800,77800,67500,"338,900",51.0,338900,CA,17,25,D,No,"159,105","52,057",0,75.3,24.7,73.9,20.5,Pure urban,D+25,34.5,3.1,14.2,45.4,0.3,2.5,57.0,54.4,121150,15.7
CA-18,California,Anna Eshoo,40200,20900,44200,60900,83400,75600,"325,300",52.0,325300,CA,18,23,D,No,"225,142","77,096",0,74.5,25.5,73.4,20.2,Urban-suburban mix,D+23,65.2,2.0,11.7,18.3,0.2,2.6,61.5,65.1,125790,22.7
CA-19,California,Zoe Lofgren,42900,27500,49400,63900,81500,70900,"336,200",51.0,336200,CA,19,24,D,No,"162,496","57,823",0,73.8,26.2,72.9,21.5,Urban-suburban mix,D+24,34.2,3.4,30.9,28.7,0.3,2.5,35.5,48.8,93139,17.5
CA-20,California,Jimmy Panetta,42900,33200,46800,52700,64800,67100,"307,400",49.0,307400,CA,20,23,D,No,"183,677",0,"42,044",81.4,0.0,70.4,23.2,Urban-suburban mix,D+23,54.5,2.6,33.8,6.0,0.3,2.7,27.9,43.5,67419,30.7
CA-21,California,T.J. Cox,52600,29700,50000,54700,57000,47200,"291,100",46.0,291100,CA,21,5,D,Yes (to Democrats),"57,239","56,377",0,50.4,49.6,55.2,39.7,Rural-suburban mix,D+5,29.1,6.3,58.7,3.8,0.7,1.5,7.9,19.5,41174,23.3
CA-22,California,Devin Nunes,46700,29300,49300,50500,64200,58700,"298,800",48.0,298800,CA,22,-8,R,No,"105,136","117,243",0,47.3,52.7,42.6,52.1,Dense suburban,R+8,51.7,3.2,35.6,7.1,0.5,1.8,24.1,31.6,56524,35.3
CA-23,California,Kevin McCarthy,49500,25900,48400,53100,64400,63600,"304,900",48.0,304900,CA,23,-14,R,No,"74,661","131,113",0,36.3,63.7,36.1,58.1,Dense suburban,R+14,57.1,6.6,29.1,4.4,0.7,2.1,20.8,24.6,54437,42.9
CA-24,California,Salud Carbajal,36300,42600,42900,46800,63200,71500,"303,200",50.0,303200,CA,24,7,D,No,"166,550","117,881",0,58.6,41.4,56.7,36.5,Sparse suburban,D+7,68.0,2.2,22.7,4.5,0.4,2.2,34.0,44.8,68929,37.5
CA-25,California,Katie Hill,44000,26800,41500,53700,78100,66700,"310,900",50.0,310900,CA,25,0,D,Yes (to Democrats),"133,209","111,813",0,54.4,45.6,50.3,43.6,Dense suburban,EVEN,52.4,8.1,29.0,7.7,0.3,2.5,27.8,33.3,75367,34.9
CA-26,California,Julia Brownley,41800,26400,43400,52300,72100,72700,"308,700",51.0,308700,CA,26,7,D,No,"158,216","97,210",0,61.9,38.1,57.9,36.0,Dense suburban,D+7,57.0,2.1,32.0,6.6,0.3,2.0,34.1,46.3,76914,30.6
CA-27,California,Judy Chu,34900,21600,44900,58600,78000,77900,"315,800",53.0,315800,CA,27,16,D,No,"202,636",0,0,100.0,0.0,66.0,28.4,Urban-suburban mix,D+16,33.5,5.4,24.5,34.7,0.2,1.7,40.5,53.1,71223,15.6
CA-28,California,Adam Schiff,27000,20200,64500,57900,78900,74900,"323,300",54.0,323300,CA,28,23,D,No,"196,662","54,272",0,78.4,21.6,72.1,22.3,Pure urban,D+23,62.1,3.3,19.9,12.1,0.2,2.5,46.2,51.6,63940,29.9
CA-29,California,Tony Cardenas,41800,27800,56500,60400,67000,58800,"312,200",49.0,312200,CA,29,29,D,No,"124,697","29,995",0,80.6,19.4,77.7,16.8,Pure urban,D+29,28.3,5.4,55.3,9.4,0.3,1.2,19.2,34.5,50655,18.4
CA-30,California,Brad Sherman,36500,25200,56500,65000,82400,72700,"338,300",52.0,338300,CA,30,18,D,No,"191,573","69,420",0,73.4,26.6,69.1,25.7,Urban-suburban mix,D+18,59.7,5.2,21.0,11.5,0.2,2.4,42.4,49.3,76778,30.2
CA-31,California,Pete Aguilar,46900,32100,52300,55200,65500,59200,"311,100",48.0,311100,CA,31,8,D,No,"110,143","77,352",0,58.7,41.3,57.7,36.6,Dense suburban,D+8,35.2,12.0,43.3,7.2,0.3,2.1,22.7,33.7,58668,23.2
CA-32,California,Grace Napolitano,39600,29100,48800,53400,74700,67500,"313,100",50.0,313100,CA,32,17,D,No,"121,759","55,272",0,68.8,31.2,66.6,27.7,Urban-suburban mix,D+17,22.6,3.5,54.3,18.1,0.3,1.3,21.4,30.6,67101,15.6
CA-33,California,Ted Lieu,33000,25000,44000,57600,80400,73200,"313,200",53.0,313200,CA,33,16,D,No,"219,091","93,769",0,70.0,30.0,67.8,26.5,Urban-suburban mix,D+16,71.1,2.9,11.0,11.9,0.2,2.9,65.4,68.1,101956,22.6
CA-34,California,Jimmy Gomez,37800,29200,64500,64500,67500,58200,"321,700",50.0,321700,CA,34,35,D,No,"110,195",0,"41,711",72.5,0.0,83.6,10.7,Pure urban,D+35,17.9,7.1,51.0,22.2,0.3,1.5,25.4,59.4,40847,7.2
CA-35,California,Norma Torres,48200,32200,53100,63500,72200,53200,"322,300",48.0,322300,CA,35,19,D,No,"103,420","45,604",0,69.4,30.6,67.7,26.9,Urban-suburban mix,D+19,21.8,8.8,59.8,7.3,0.3,2.0,16.1,23.8,57159,16.5
CA-36,California,Raul Ruiz,42700,23100,41900,52600,62800,66000,"289,100",50.0,289100,CA,36,2,D,No,"122,169","84,839",0,59.0,41.0,52.2,43.4,Dense suburban,D+2,55.8,4.6,34.4,3.1,0.6,1.5,20.6,29.8,44567,39.1
CA-37,California,Karen Bass,33300,31300,60700,59400,68700,60900,"314,300",51.0,314300,CA,37,37,D,No,"210,555","25,823",0,89.1,10.9,85.7,9.6,Pure urban,D+37,32.3,29.5,25.7,10.0,0.2,2.4,36.9,66.6,55190,10.7
CA-38,California,Linda Sanchez,39500,28700,45500,59500,70400,66700,"310,300",50.0,310300,CA,38,17,D,No,"139,188","62,968",0,68.9,31.1,67.0,27.4,Pure urban,D+17,22.8,4.4,55.4,15.9,0.4,1.1,23.5,25.6,66421,16.8
